item ,version,center_embedding,passive,header,continuation,locus of uncertainty 
Escape Of Water,uncovered,no,yes,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident occurs whereby water is abruptly and unexpectedly leaked from an internal source. This incident results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,covered,yes,yes,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident that occurs with water that is abruptly and unexpectedly leaked from an internal source results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,covered,yes,no,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident that occurs with an internal source that abruptly and unexpectedly leaks water results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,covered,no,no,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident occurs whereby an internal source abruptly and unexpectedly leaks water. This incident results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,covered,no,yes,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident occurs whereby water is abruptly and unexpectedly leaked from an internal source. This incident results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,controversial,yes,yes,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident that occurs with water that is abruptly and unexpectedly leaked from an internal source results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,controversial,yes,no,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident that occurs with an internal source that abruptly and unexpectedly leaks water results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,controversial,no,no,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident occurs whereby an internal source abruptly and unexpectedly leaks water. This incident results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,controversial,no,yes,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident occurs whereby water is abruptly and unexpectedly leaked from an internal source. This incident results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Trace And Access,uncovered,yes,yes,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs with cables or pipes connected to the policyholder's home that are reasonably located by a skilled professional results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,uncovered,yes,no,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs with a skilled professional that reasonably locates cables or pipes connected to the policyholder's home results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,uncovered,no,no,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident occurs with a skilled professional that reasonably locates cables or pipes connected to the policyholder's home. This incident results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,uncovered,no,yes,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident occurs with cables or pipes connected to the policyholder's home that are reasonably located by a skilled professional. This incident results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,covered,yes,yes,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs with cables or pipes connected to the policyholder's home that are reasonably located by a skilled professional results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,covered,yes,no,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs with a skilled professional that reasonably locates cables or pipes connected to the policyholder's home results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,covered,no,no,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident occurs with a skilled professional that reasonably locates cables or pipes connected to the policyholder's home. This incident results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,covered,no,yes,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident occurs with cables or pipes connected to the policyholder's home that are reasonably located by a skilled professional. This incident results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,controversial,yes,yes,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs with cables or pipes connected to the policyholder's home that are reasonably located by a skilled professional results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,controversial,yes,no,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident that occurs with a skilled professional that reasonably locates cables or pipes connected to the policyholder's home results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,controversial,no,no,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident occurs with a skilled professional that reasonably locates cables or pipes connected to the policyholder's home. This incident results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Trace And Access,controversial,no,yes,"Justin has insurance that covers ""Trace and Access."" A ""Trace and Access"" event is defined as: <b> ""An incident occurs with cables or pipes connected to the policyholder's home that are reasonably located by a skilled professional. This incident results in damage to the policyholder's property.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage.",reasonably 
Hail Damage,filler_uncovered,no,no,"Mia has insurance that covers ""Hail Damage."" ""Hail Damage"" is defined as follows: <b>""damage from hail of such intensity that it causes damage specifically to hard surfaces or breaks glass.""</b>","One day, a hail storm hits Mia's house and causes damage to the plants on her balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Mia files a claim with her insurance company for the damage.",n/a
Vehicle Theft,filler_covered,no,no,"Lucas has insurance that covers ""Vehicle Theft."" ""Vehicle Theft"" is defined as follows: <b>""loss as a result of theft to the policyholder's car or car accessories.""</b>","Lucas, who lives alone, goes on vacation and leaves his car locked in his home garage. However, surveillance footage captures a masked assailant breaking into his car and stealing Lucas's very high-end seat covers. Lucas files a claim with his insurance company for the loss.",n/a 
